k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
5,circuit,0000000000000000000011110,1,4,1,4,False,0.09466964899915838,1,0.014656262223065576,206689,1,0.03023028903058844,2131606,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000000010011010,3,4,1,3,False,0.024864110544441844,32,0.17705515557737683,2496909,27,0.14337037275503578,10109369,32,0.22471199294749483,15844948,25,0.17714453871490415,2498172,22,-0.0007281350834858248,-0.6483301992959223
5,circuit,0000000000000000010011100,1,4,2,3,False,0.028721298025947656,29,0.049756297422658045,701685,23,0.09050908310129331,6382000,29,0.23298109524204794,16428021,22,0.23052462515378533,3250962,19,-2.211969833271165,-1.3640784079655615
5,circuit,0000000000000000010011110,1,5,2,4,False,0.09651616997140654,4,0.03761959990458386,530528,3,0.047084365186990176,3320025,4,0.03152090638890273,2222610,2,0.034923009831625,492500,2,0.10730660279195393,0.5789390583695136
5,circuit,0000000000000000010111000,3,4,1,2,False,-0.0645466922504057,26,0.12287713980761905,1732867,17,0.08212108078793674,5790543,26,0.22410649531260873,15802253,22,0.25396175841786356,3581483,20,-1.0473947320450487,-1.4483599434439847
5,circuit,0000000000000000010111100,1,5,2,3,False,-0.10528939266886411,1,0.0,0,0,6.807326839332621e-07,48,1,0.02162554764066595,1524866,1,0.016702700594577537,235549,1,,-14.95528876281328
5,circuit,0000000000000000110010100,2,4,2,2,False,-0.12217319440040053,64,0.08987787641794652,1267497,48,0.16379728858499218,11549717,64,0.3734987094228125,26336234,44,0.32468003786576094,4578784,39,-1.8529807440043005,-1.1891917824200386
5,circuit,0000000000000000110010110,2,5,2,3,False,-0.059350179464160414,12,0.0016673715094328383,23514,9,0.006871712805687975,484540,12,0.10281738425333732,7249885,10,0.10778027931316898,1519966,9,-6.014373831283604,-3.903270662093834
5,circuit,0000000000000000110011100,1,5,2,3,False,0.07534868905889855,12,0.17717924761367468,2498659,11,0.09527268024028729,6717892,12,0.051753816560297206,3649278,8,0.021688926392222627,305867,8,3.0301790898658423,0.8803973184236226
5,circuit,0000000000000010000111000,1,4,2,2,False,0.19498568602728028,29,0.21834816339531696,3079241,23,0.15505876566713364,10933544,29,0.14195376182087172,10009479,16,0.1771108566242036,2497697,15,0.30197774634757424,0.12739400416505295
5,circuit,0000000000000010010011000,1,4,1,2,False,0.12517746257436643,39,0.3042143215540918,4290163,27,0.21969725548436542,15491350,39,0.32786903449924,23118783,23,0.3449089342631954,4864061,21,-0.1811274270932076,-0.57760280587903
5,circuit,0000000000000010010111000,1,5,2,2,False,-0.04854656082176871,16,0.07262234694771882,1024152,11,0.07084436096644754,4995396,16,0.18252198990277563,12870036,12,0.16654155838169962,2348644,11,-1.1973967690827105,-1.3653453597059915
5,circuit,0000000000000010100010010,2,4,1,2,False,0.05381308194158726,37,0.35414420600809676,4994296,27,0.2925900261883536,20631184,37,0.2375209589471469,16748137,23,0.27441692755514113,3869951,21,0.36796746153306015,0.3008257686474468
5,circuit,0000000000000010100011000,2,4,2,2,False,-0.0023051100082726733,60,0.20601745684220796,2905348,43,0.22402580771060238,15796566,60,0.37504130665297597,26445006,35,0.40462905381688996,5706261,32,-0.973833325269061,-0.7433845613427746
5,circuit,0000000000000010100011010,1,5,2,3,False,0.15641995729485567,6,0.016397167127721764,231240,6,0.017504714782932782,1234297,6,0.011970487567344505,844066,3,0.011479423788065194,161888,3,0.5143963603119811,0.5482616394984866
5,circuit,0000000000000010100110000,2,4,2,2,False,-0.05658688496909778,114,0.560533158952113,7904883,90,0.5071818007251505,35762535,114,0.6988700360415394,49278898,73,0.7240656056217182,10211099,67,-0.3693207021594094,-0.4625212146862893
5,circuit,0000000000000010100111000,1,5,2,2,False,-0.0762535680345162,23,0.08616312812906933,1215110,16,0.0939454075078575,6624303,23,0.14878199389158614,10490953,13,0.1744768462217558,2460551,12,-1.0178930651118603,-0.6633053943150059
5,circuit,0000000000000010110010000,4,4,1,2,False,-0.09078343409296614,125,0.5476601347455149,7723342,99,0.5598617602102103,39477118,125,0.766570032392528,54052577,85,0.7804667274126127,11006493,77,-0.5110562614494304,-0.45334695563215877
5,circuit,0000000000000010110011000,1,5,2,2,False,-0.06825184704114338,11,0.0003329921156883818,4696,8,0.0025368070744009623,178876,11,0.07922319992941936,5586206,7,0.0940501827696606,1326338,7,-8.141798918382749,-4.964837263852502
5,circuit,0000000000000010110110000,2,5,2,3,False,0.02360556109996633,19,0.08309833847145273,1171889,16,0.10816585654749969,7627019,19,0.08780417711538317,6191270,12,0.05589014674755096,788188,11,0.5722256679840337,0.30088369237627494
5,circuit,0000000000000010110111000,1,6,2,3,False,-0.08478980781640219,1,0.0,0,0,1.7826687160502302e-05,1257,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000011100001000,1,4,2,2,False,-0.08504999466794778,105,0.6325349038988725,8920283,81,0.5709335794938355,40257817,105,0.6217333813873955,43839819,57,0.6459366280327177,9109289,52,-0.030247539669929487,-0.12297312343656874
5,circuit,0000000000000011100001010,1,5,2,2,False,-0.07744197735119202,3,9.721724672248114e-05,1371,1,0.0005056000190605151,35651,3,0.02429872857976775,1713358,2,0.05018276966059089,707700,1,-9.011764105741106,-5.586740499297464
5,circuit,0000000000000011100011000,1,5,2,2,False,0.19739295162042936,7,0.27743979834405913,3912577,7,0.15433923122021617,10882808,7,0.028491617108964997,2009008,3,0.023149949122315626,326471,2,3.583093827130139,2.4374954120024395
5,circuit,0000000000000011100101000,1,5,2,3,False,0.09611992740742072,28,0.10072139309832713,1420417,24,0.14452125063074137,10190520,28,0.14442608404108626,10183808,14,0.1301397274941588,1835289,14,-0.36969129539880197,0.000950321082380739
