k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
3,circuit,000000110,1,2,1,2,False,-0.027928910344190858,122,0.5755837502116655,8117133,94,0.5399256668273007,38071379,122,0.710915290760333,50128236,70,0.7318799924835756,10321301,62,-0.34658124420348646,-0.3969168646685683
3,circuit,000100100,1,2,2,1,False,-0.1636414260579414,199,0.8157294243349164,11503772,156,0.8572488387125871,60446553,199,0.9999998581806687,70512239,108,1.0,14102450,95,-0.29383740213117965,-0.22221384549561007
3,circuit,000100110,1,3,2,2,False,0.09575884700736856,78,0.3859234674066239,5442461,64,0.4570833781245985,32229982,78,0.2806304618081321,19787885,39,0.27640317817116883,3897962,33,0.4815405702057269,0.703785737396192
3,circuit,000001100,1,2,1,1,True,0.34088573180124127,215,1.0,14102436,172,1.0,70512260,215,1.0,70512249,109,1.0,14102450,95,0.0,0.0
