k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
3,toxicity,000000110,1,2,1,2,False,0.17319517614483462,100,0.37263157237889283,5255017,100,0.42719133420473737,30122226,100,0.5801095435221411,40904828,91,0.5769170250503513,8135936,78,-0.6306139222090638,-0.44144297212980393
3,toxicity,000100100,1,2,2,1,False,-0.01946434847199865,151,0.7081285964059996,9986346,151,0.7686808473970462,54201423,151,0.8739616697513317,61625002,141,0.881594365569582,12432629,123,-0.3161036253764401,-0.18518528489328223
3,toxicity,000100110,1,3,2,2,False,0.29811592470247483,65,0.3464166183358108,4885322,65,0.3428548644286095,24175471,65,0.33282056189727494,23467926,56,0.3209993421704348,4526873,50,0.10993780003822003,0.04285342433698485
3,toxicity,000001100,1,2,1,1,True,0.1065034307072799,212,0.9842997459944363,13881035,212,0.9871480220198307,69606037,212,0.9987985633361172,70427532,180,0.9995657488134853,14096313,147,-0.022203744507429363,-0.016927314289873145
