k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
3,toxicity,000000110,1,2,1,2,False,-0.20000328057450426,204,0.8982715552839873,12667827,204,0.9195848341775577,64842004,204,0.9773630958411651,68916069,174,0.9808268599249903,13832049,142,-0.12684683761525137,-0.08791195775054425
3,toxicity,000100100,1,2,2,1,False,-0.1554969813085539,215,1.0,14102447,215,1.0,70512259,215,1.0,70512248,181,1.0,14102437,148,0.0,0.0
3,toxicity,000100110,1,3,2,2,False,0.24072017222522,158,0.7329216695513906,10335989,158,0.7375167912291677,52003975,158,0.7820443903589629,55143708,134,0.7877276813929394,11108880,112,-0.10403795443480286,-0.08457460409581552
3,toxicity,000001100,1,2,1,1,True,0.27817047711626053,215,1.0,14102447,215,1.0,70512259,215,1.0,70512248,181,1.0,14102437,148,0.0,0.0
