k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
3,toxicity,000000110,1,2,1,2,False,0.2781920395144871,122,0.5374696320432901,7579637,122,0.5536770138083366,39041017,122,0.6184655749452209,43609398,109,0.6119316115363607,8629727,87,-0.18718718645909174,-0.1596486652191137
3,toxicity,000100100,1,2,2,1,False,0.07181325956692228,199,0.920335031218341,12978976,199,0.9399170859070052,66275677,199,0.9826650825258046,69289924,172,0.9853188495009764,13895397,143,-0.09843151305011878,-0.06416629672867395
3,toxicity,000100110,1,3,2,2,False,0.3280526523640784,78,0.399721835508405,5637056,78,0.39155928900249815,27609730,78,0.38186879249687233,26926427,65,0.36716696553936035,5177949,58,0.12256012111095066,0.036153750344403414
3,toxicity,000001100,1,2,1,1,True,0.16165773747824402,215,1.0,14102447,215,1.0,70512259,215,1.0,70512248,181,1.0,14102437,148,0.0,0.0
