k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
4,circuit,0000000000001110,1,3,1,3,False,0.058327462560438394,40,0.21636517265527744,3051276,33,0.1928754659118854,13600085,40,0.29695182463971614,20938741,29,0.2886862211885169,4071183,26,-0.4160339566776488,-0.6225592555981543
4,circuit,0000000000011100,1,3,1,2,False,0.08060338865027664,106,0.5753484008011098,8113814,83,0.5366774940981894,37842343,106,0.5947190820704074,41934980,56,0.624854546550422,8811980,51,-0.11908455766000878,-0.1481529774881647
4,circuit,0000000001001010,2,3,1,2,False,-0.2419557671468334,191,0.7943665902827001,11202504,150,0.7688581815417631,54213928,191,0.9963843728768317,70257303,106,0.9999351885665256,14101536,94,-0.3320296418983524,-0.373984881962225
4,circuit,0000000001001100,1,3,2,2,False,-0.12383715753746061,188,0.9040660776620436,12749534,149,0.8494003170512475,59893136,188,0.9222049065546044,65026742,97,0.9178446298338232,12943858,87,-0.021821736701437337,-0.11864269437926155
4,circuit,0000000001001110,1,4,2,3,False,0.04369091321284793,44,0.10189806924137078,1437011,38,0.15205828036145771,10721973,44,0.2217149817473557,15633622,26,0.20686192824651037,2917260,22,-1.0215414342047766,-0.5440818787053869
4,circuit,0000000001011100,1,4,2,2,False,-0.2688116859193793,62,0.10781733028251289,1520487,40,0.1388044008233462,9787412,62,0.5130511863265061,36176393,44,0.5325388850873429,7510103,38,-2.304297780484262,-1.8860494588771841
4,circuit,0000000011001100,1,4,2,2,False,0.10940601591320172,22,0.3051216116137666,4302958,19,0.18791493848020188,13250307,22,0.08720513226007016,6149030,14,0.048198788153831426,679721,11,2.6623155900959596,1.1075948106030986
4,circuit,0000000100011000,1,3,2,1,False,0.07604021083701488,212,0.9687038466262141,13661084,169,0.9533944877103642,67226000,212,1.0,70512249,109,1.0,14102450,95,-0.0458724244050371,-0.06885481075931194
4,circuit,0000000101011000,1,4,2,2,False,0.010597250363139079,150,0.620786437180073,8754601,117,0.7267598428982421,51245479,150,0.7386710357231692,52085356,80,0.7237654450113278,10206866,68,-0.22142519210498324,-0.0234533030765881
4,circuit,0000000110001000,2,3,2,1,False,-0.39116308667679367,215,1.0,14102436,172,1.0,70512260,215,1.0,70512249,109,1.0,14102450,95,0.0,0.0
4,circuit,0000000110001010,1,4,2,2,False,0.09507749285922779,77,0.38590510178525184,5442202,63,0.4562776884473707,32173171,77,0.27633832811090736,19485237,38,0.276360277824066,3897357,32,0.4816958495797791,0.7234764313173156
4,circuit,0000000110011000,1,4,2,2,False,-0.14021600629434725,141,0.5592231725072179,7886409,108,0.6347198345365757,44755530,141,0.717839222515793,50616458,80,0.7048598647752695,9940251,67,-0.3339123168076874,-0.1775408272203393
4,circuit,0000000111001000,2,4,2,2,False,0.058513851904968134,89,0.5270641894776193,7432889,77,0.5034353033075383,35498361,89,0.37976085545080257,26777792,42,0.4435634233767891,6255331,36,0.2488382692956741,0.4067151840650162
4,circuit,0000000111011000,1,5,2,3,False,-0.06483534040596296,6,4.375130651186788e-05,617,3,0.0006459585893290046,45548,6,0.04344148773357094,3063157,4,0.027431687401834434,386854,3,-9.292301554202115,-6.071488020927992
4,circuit,0000001110001000,1,4,2,2,False,0.09014247045232719,81,0.37611778560810344,5304177,61,0.3590994956054451,25320917,81,0.46571070226394284,32838309,39,0.4658609674205546,6569781,36,-0.3087149288142127,-0.3750504098090786
4,circuit,0000001110001010,1,5,2,2,False,-0.03157828140598502,12,0.01790343171917249,252482,9,0.04454608319177403,3141045,12,0.08231369843273613,5804124,8,0.08002254927335321,1128514,7,-2.1601704403357473,-0.8858339548804938
4,circuit,0000000101001000,2,3,1,1,True,0.3070944920280964,215,1.0,14102436,172,1.0,70512260,215,1.0,70512249,109,1.0,14102450,95,0.0,0.0
