k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
5,circuit,0000000000000000000011110,1,4,1,4,False,0.09466964899915838,1,0.014656262223065576,206689,1,0.03023028903058844,2131606,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000000000111100,1,4,1,3,False,-0.01575128118989789,4,0.016325477385609126,230229,3,0.03187013152039092,2247235,4,0.03214464198979102,2266591,2,0.039389538697176735,555489,2,-1.2706873418887317,-0.012373310057788628
5,circuit,0000000000000000010011010,3,4,1,3,False,0.008968513978685878,37,0.19339715493124734,2727371,30,0.17590691320913554,12403594,37,0.27431659427002536,19342680,28,0.2661120585430191,3752832,25,-0.46046731434544846,-0.6410297155756606
5,circuit,0000000000000000010011100,1,4,2,3,False,0.02387127474579426,31,0.049757006520008314,701695,24,0.09080579745990272,6402922,31,0.26512573723183896,18694612,24,0.26991416385096206,3806451,21,-2.4395290869729385,-1.54582041358712
5,circuit,0000000000000000010011110,1,5,2,4,False,0.09651616997140654,4,0.03761959990458386,530528,3,0.047084365186990176,3320025,4,0.03152090638890273,2222610,2,0.034923009831625,492500,2,0.10730660279195393,0.5789390583695136
5,circuit,0000000000000000010111000,3,4,1,2,False,-0.11072558843270512,35,0.14360206988352933,2025139,24,0.12310513093751356,8680421,35,0.28480777857475514,20082437,27,0.30533226496105287,4305933,25,-1.0883035052003098,-1.2100976556302763
5,circuit,0000000000000000010111100,1,5,2,3,False,-0.12917247743875077,3,4.183674366612974e-06,59,1,0.00017494829977084836,12336,3,0.03113495926076617,2195396,2,0.0335180766462565,472687,2,-12.96788118060828,-7.475462937401762
5,circuit,0000000000000000110010100,2,4,2,2,False,-0.12657149560242123,65,0.08987943643211711,1267519,49,0.1638924635233646,11556428,65,0.3734987094228125,26336234,44,0.32468003786576094,4578784,39,-1.8529557033016777,-1.1883537433017308
5,circuit,0000000000000000110010110,2,5,2,3,False,-0.059350179464160414,12,0.0016673715094328383,23514,9,0.006871712805687975,484540,12,0.10281738425333732,7249885,10,0.10778027931316898,1519966,9,-6.014373831283604,-3.903270662093834
5,circuit,0000000000000000110011100,1,5,2,3,False,0.08836045064835157,14,0.1935005413249172,2728829,13,0.1269685441935913,8952839,14,0.074389046929988,5245339,9,0.044263089037720395,624218,9,2.128161559630033,0.7713090018121236
5,circuit,0000000000000010000111000,1,4,2,2,False,0.14373013016727967,45,0.23945621876957995,3376916,37,0.19896388230926082,14029393,45,0.19542379083668143,13779771,23,0.2111784122616992,2978133,21,0.1812995408405676,0.02590045243965455
5,circuit,0000000000000010010011000,1,4,1,2,False,0.0572308315151432,48,0.3042359490232751,4290468,32,0.22176249917390253,15636975,48,0.45241633123912983,31900893,31,0.4795850366425692,6763324,29,-0.6565960120850917,-1.0286355871298642
5,circuit,0000000000000010010111000,1,5,2,2,False,-0.0721204787253048,22,0.07264234349299653,1024434,15,0.07247921141656784,5110673,22,0.2811311833210709,19823192,18,0.28560292715095603,4027701,17,-1.9751281148103472,-1.9556043237431513
5,circuit,0000000000000010100010010,2,4,1,2,False,0.024272169417368632,65,0.4067600803152023,5736308,52,0.37167359264899463,26207545,65,0.39351541602367557,27747657,38,0.4387774464720669,6187837,34,-0.1093112727516395,-0.0823839660455266
5,circuit,0000000000000010100011000,2,4,2,2,False,-0.06673332030797267,89,0.2652545985672263,3740736,67,0.339792200675457,23959516,89,0.5527360359758203,38974661,50,0.58078872819971,8190544,46,-1.1306356916106037,-0.701937934626858
5,circuit,0000000000000010100011010,1,5,2,3,False,0.1365607297713223,8,0.016585787022894486,233900,8,0.01794398591110255,1265271,8,0.011970487567344505,844066,3,0.011479423788065194,161888,3,0.530897244534894,0.5840184772126602
5,circuit,0000000000000010100110000,2,4,2,2,False,-0.18579102232069983,143,0.66148798689815,9328592,111,0.6527608815828623,46027645,143,0.8341053055902387,58814641,87,0.8304583955270184,11711498,79,-0.3281929372165214,-0.35367493246827686
5,circuit,0000000000000010100111000,1,5,2,2,False,-0.08483200176438838,28,0.10705859611772037,1509787,19,0.13082862469590395,9225022,28,0.17721732290796738,12495992,15,0.21130881513495883,2979972,14,-0.9809523136783109,-0.43784140317897446
5,circuit,0000000000000010110010000,4,4,1,2,False,-0.07080643005116045,153,0.69103054252471,9745214,120,0.675357803026027,47621005,153,0.9176705738034253,64707016,97,0.9194707302631813,12966790,88,-0.41205417270076783,-0.44232430537540457
5,circuit,0000000000000010110011000,1,5,2,2,False,-0.06825184704114338,11,0.0003329921156883818,4696,8,0.0025368070744009623,178876,11,0.07922319992941936,5586206,7,0.0940501827696606,1326338,7,-8.141798918382749,-4.964837263852502
5,circuit,0000000000000010110110000,2,5,2,3,False,0.02294415670524898,27,0.09849752198839973,1389055,24,0.1420191325593592,10014090,27,0.1431275436981169,10092245,17,0.13414023804374417,1891706,14,-0.4455827327017363,-0.01121603329455093
5,circuit,0000000000000010110111000,1,6,2,3,False,-0.12576301171567267,2,0.0,0,0,7.005873872146488e-05,4940,2,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000011100001000,1,4,2,2,False,-0.10831535656706662,127,0.672967705721196,9490484,99,0.6494926839672988,45797197,127,0.7651477830468859,53952291,68,0.8059235806544253,11365497,62,-0.26010577125069506,-0.2364251464502221
5,circuit,0000000000000011100001010,1,5,2,2,False,0.022202989948299733,4,0.0006134401177215058,8651,2,0.0014724673411403918,103827,4,0.02429872857976775,1713358,2,0.05018276966059089,707700,1,-6.354125768195062,-4.044573286421815
5,circuit,0000000000000011100011000,1,5,2,2,False,0.19739295162042936,7,0.27743979834405913,3912577,7,0.15433923122021617,10882808,7,0.028491617108964997,2009008,3,0.023149949122315626,326471,2,3.583093827130139,2.4374954120024395
5,circuit,0000000000000011100101000,1,5,2,3,False,0.09770605479028564,30,0.10091001299349985,1423077,26,0.14496052175891114,10221494,30,0.14442608404108626,10183808,14,0.1301397274941588,1835289,14,-0.366992102132921,0.005328729846445827
5,circuit,0000000000000011110001000,2,5,2,3,False,0.06632074105375242,22,0.2086385642877585,2942312,20,0.1741903181092196,12282553,22,0.12284077054470352,8661779,15,0.13014908756989033,1835421,13,0.680840649502275,0.5038749708562743
5,circuit,0000000000000011110101000,1,6,2,4,False,0.027990839316567637,1,2.6023872755033243e-05,367,1,0.00027063378765621753,19083,1,0.009893841281392117,697637,1,0.006934185194771121,97789,1,-8.057746884229251,-5.192116884769338
5,circuit,0000000000000110100010000,2,4,1,2,False,-0.1370645034499794,133,0.6385843552135249,9005595,103,0.6083266938260098,42894490,133,0.820258917000364,57838301,86,0.8174137827115147,11527537,77,-0.35618936085985864,-0.43123306018020935
5,circuit,0000000000000110100010010,2,5,2,2,False,-0.20660062937059215,45,0.10381277390657898,1464013,28,0.11882771875415708,8378811,45,0.4688131986826856,33057073,36,0.522440497927665,7367691,31,-2.331282759659392,-1.9801417765053646
5,circuit,0000000000000110100011000,1,5,2,2,False,-0.111037760014653,25,0.012080466098197504,170364,16,0.017946708841838285,1265463,25,0.28595987627624814,20163674,21,0.2907759999149084,4100654,20,-4.589160172868178,-3.9940215284542355
5,circuit,0000000000000110100111000,1,6,2,2,False,0.0526081278450775,1,9.721724672248114e-05,1371,1,0.0004547010690055885,32062,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000111100011000,1,6,2,2,False,-0.00658431898669477,1,7.090973502733854e-07,10,1,0.0002604795251208797,18367,1,0.022635230369690805,1596061,1,0.022574162645497768,318351,1,-14.95832924333811,-6.441256204892659
5,circuit,0000000000010000100010010,1,4,2,2,False,-0.30153040125764347,160,0.44351699238344355,6254670,122,0.5172232176361955,36470578,160,0.9692246094717529,68342207,101,0.9868943339632475,13917628,89,-1.1539062453835731,-0.9060439988116096
5,circuit,0000000000010000100010110,1,5,2,3,False,0.06608470872453738,12,0.044069762131875655,621491,8,0.059137318815196106,4169906,12,0.10638779937369464,7501643,6,0.11092569021694812,1564324,6,-1.3317325153690904,-0.8471919703316036
5,circuit,0000000000010000100110000,1,4,2,2,False,-0.23988283529892895,165,0.6447783914778978,9092946,129,0.6483509959828262,45716694,165,0.8596650065721205,60616913,93,0.8580531751575081,12100652,83,-0.41226366150669314,-0.4069995288994358
5,circuit,0000000000010000100110100,1,5,2,2,False,0.0315882806873385,8,0.052271607543547795,737157,7,0.049594595322855914,3497027,8,0.0705555994959117,4975034,5,0.11815961056412183,1666340,5,-1.1766375430687177,-0.5085776754072197
5,circuit,0000000000010000110010010,1,5,2,2,False,-0.09021450220757654,35,0.09365289798159694,1320734,24,0.11712188773980582,8258529,35,0.18778832313233976,13241377,24,0.1771015674581367,2497566,21,-0.9191814380712158,-0.6810966456439055
5,circuit,0000000000010000110010100,2,5,2,2,False,-0.07815289126306087,54,0.1857859167026179,2620034,39,0.20102921109038344,14175024,54,0.40368617373131865,28464820,39,0.4243153494605547,5983886,36,-1.1914957246130005,-1.0058290239769505
5,circuit,0000000000010000110010110,1,6,2,3,False,-0.043871462779766286,2,2.5385685139787198e-05,358,2,0.0014037842497177087,98984,2,0.009269439129646822,653609,2,0.0007770990147102099,10959,2,-4.936011329603906,-2.723160825534321
5,circuit,0000000000010000110110000,2,5,2,3,False,0.019899382367590406,34,0.07822350691752829,1103142,29,0.11015280179645355,7767123,34,0.22166703263145102,15630241,24,0.20686192824651037,2917260,22,-1.4029940283058007,-1.0088880304965224
