k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
4,circuit,4,0000000000001110,27,0,3,1,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,circuit,4,0000000000011100,27,7,3,1,2,False,0.2795511921099675,0.16730264135982953,3376,3,0.19568449431074814,19743,7,0.23921005030106302,48269,7,0.2654741303266194,133924,7,0.36813633372186144,185713,6,0.5476291949967292,110505,6,0.5385606533654466,54337,4,0.06204469993557659,1252,1,1.4310803417745668,-1.4605793880958955,-1.1949213560654879,-0.4716688640313609
4,circuit,4,0000000001001010,27,19,3,1,2,False,-0.4854342052313947,0.2716190098617374,5481,7,0.47484438805851803,47908,18,0.5229278687712169,105519,19,0.6166518987216312,311083,19,0.7875980240570264,397318,13,0.767449005887367,154862,10,0.7859514535200658,79297,8,0.9984637494424897,20148,6,-1.8781255963095416,-0.7269853999433585,-0.5534589331657734,-0.3530031769735829
4,circuit,4,0000000001001100,27,21,3,2,2,False,-0.16726500745389306,0.41146736706477033,8303,8,0.5839511556912342,58916,21,0.6564660405877543,132465,21,0.7327596630926257,369656,21,0.8251068452310156,416240,14,0.8153804983447975,164534,11,0.7867047267897673,79373,8,0.3676098914713316,7418,5,0.16260243044117417,-0.4299745512020219,-0.31275307044597606,-0.17124086155203896
4,circuit,4,0000000001001110,27,5,4,2,3,False,0.0393930346070273,0.1250805292630953,2524,2,0.18093605043016295,18255,5,0.19431573209108705,39210,5,0.20375204917626583,102787,5,0.1002303416668649,50563,3,0.10928300989156937,22052,2,0.07928201163608972,7999,1,0.06273849050993607,1266,1,0.9954345055542075,1.1904144111411639,0.8303335841467452,1.0234952624993927
4,circuit,4,0000000001011100,27,3,4,2,2,False,-0.36009623947630515,0.0,0,0,0.0001982317725885105,20,2,0.005575240974304334,1125,3,0.03258264597964997,16437,3,0.29341603431734026,148019,3,0.4725157095565643,95348,3,0.664198705559355,67013,3,0.6928985579067347,13982,2,,-11.710210979653576,-6.4051843217926665,-3.170772039704517
4,circuit,4,0000000011001100,27,1,4,2,2,False,-0.12360716378720452,0.0,0,0,0.0004856678428418507,49,1,0.003870456178605942,781,1,0.01815565215839959,9159,1,0.058945265110968384,29736,1,0.07491525759708209,15117,1,0.07928201163608972,7999,1,0.06273849050993607,1266,1,,-7.350879793065875,-4.274684054715025,-1.6989571774121106
4,circuit,4,0000000100011000,27,26,3,2,1,False,0.11662298296698362,0.5071609098567817,10234,11,0.7359949252666217,74256,25,0.8224347696806006,165955,26,0.9035008949969374,455790,26,0.9999980177137103,504467,18,1.0,201788,14,1.0,100893,11,1.0,20179,7,-0.9794845428822048,-0.442232276047899,-0.2820268369394448,-0.14639920484328092
4,circuit,4,0000000101011000,27,18,4,2,2,False,0.2288062015989805,0.9111948064819863,18387,9,0.8091127145858938,81633,17,0.7812424114775628,157643,18,0.7173811775106993,361898,18,0.6812562937589699,343672,14,0.6932176343489207,139883,9,0.7787061540443837,78566,8,0.8098022696863075,16341,5,0.17018983761393974,0.055261665517719584,0.17246191643027675,0.07454223955853882
4,circuit,4,0000000110001000,27,27,3,2,1,False,-0.47213035005444964,1.0,20179,12,1.0,100892,26,1.0,201785,27,1.0,504471,27,1.0,504468,19,1.0,201788,14,1.0,100893,11,1.0,20179,7,0.0,0.0,0.0,0.0
4,circuit,4,0000000110001010,27,6,4,2,2,False,0.38088555243125977,0.2081371723078448,4200,4,0.23192126233992785,23399,6,0.2857992417672275,57670,6,0.3018012928394298,152250,6,0.14430647731868027,72798,6,0.11609709199754198,23427,4,0.005837867840187129,589,3,0.001536250557510283,31,1,7.08197730216661,5.312049729904919,1.2996702529319626,1.0644629281402944
