k,task,size_class,parent_iso_key,typed_motif,n_topo_in_size,n_topo_with_motif_in_size,partial_r,presence_rate_top_01,presence_designs_top_01,presence_rate_top_05,presence_designs_top_05,presence_rate_top_10,presence_designs_top_10,presence_rate_top_25,presence_designs_top_25,presence_rate_bot_25,presence_designs_bot_25,presence_rate_bot_10,presence_designs_bot_10,presence_rate_bot_05,presence_designs_bot_05,presence_rate_bot_01,presence_designs_bot_01
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-in(2,0)/NOT-in(0,1)/NOT-in(1,1)|edges=0001000001000100",82,1,0.15201200309217586,0.025436469618651127,208579,0.059531905343019775,2440808,0.05613396341463415,4602985,0.03457308242088172,7087482,0.0,0,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-in(2,0)/NOT-in(0,1)/NOT-in(1,1)|edges=0100000000010100",82,1,-0.07503955926460132,0.0007632928690958217,6259,0.011976049364685335,491018,0.024216463414634147,1985750,0.019503770446286286,3998273,0.002184682926829268,447860,2.3170732272456885e-06,190,0.0,0,0.0,0
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-mid(0,1)/NOR-mid(1,1)/NOR-out(2,0)|edges=0010000100010000",82,17,-0.14548697687888792,0.0012552442085961484,10293,0.009543049246002402,391265,0.030078939024390242,2466473,0.06924671605980416,14195577,0.27308248780487804,55981910,0.29071661684674677,23838762,0.28611284668017445,11730627,0.3078355722151741,2524252
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-mid(0,1)/NOR-out(2,0)/NOT-mid(1,1)|edges=0001001000000010",82,3,-0.055993684024093805,0.02361171307602758,193616,0.023951488973243364,982011,0.028394560975609755,2328354,0.02762637520546768,5663407,0.04854036097560976,9950774,0.05211885492972817,4273746,0.053643315764797174,2199376,0.04801718926619643,393741
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-mid(1,1)/NOR-out(2,0)/NOT-in(0,1)|edges=0010001000000100",82,3,0.15898282131252808,0.14367771797017512,1178157,0.13741854328870942,5634160,0.1256274512195122,10301451,0.0851003938765796,17445581,0.001646458536585366,337524,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-mid(1,1)/NOR-out(2,0)/NOT-mid(0,1)|edges=0100001000000010",82,3,-0.24959529579257636,0.0,0,0.000279731720962523,11469,0.0026764146341463416,219466,0.006867351119014374,1407807,0.07810019512195122,16010540,0.08879624606820112,7281292,0.09213236360652771,3777427,0.07677608819803802,629564
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-mid(2,0)/NOT-in(0,1)/NOT-in(1,1)|edges=0100000000010100",82,2,0.177466416805938,0.036044764888967046,295567,0.06708656424812509,2750549,0.06371056097560976,5224266,0.05093428705949824,10441529,0.01572128292682927,3222863,0.016009000390463424,1312738,0.013554170401117794,555721,0.011258291309964474,92318
4,circuit,7,0000000110001000,"NOR-in(0,1)/NOR-out(2,0)/NOT-mid(0,1)/NOT-mid(1,1)|edges=0001000001000100",82,1,-0.24405439436942875,0.0,0,0.00014931708045449172,6122,0.0009523414634146341,78092,0.0018785219237289475,385097,0.02339447317073171,4795867,0.025867281118714173,2121117,0.029142340752625836,1194836,0.03953023908167816,324148
4,circuit,7,0000000110001000,"NOR-in(1,1)/NOR-in(2,0)/NOT-in(0,1)/NOT-in(0,1)|edges=0100000001001000",82,1,-0.0026143661315921932,0.005518903785098484,45255,0.008277829672089253,339391,0.010571426829268293,866857,0.01166639007317478,2391610,0.004745229268292683,972772,0.00022457317620910185,18415,0.0,0,0.0,0
4,circuit,7,0000000110001000,"NOR-in(1,1)/NOR-in(2,0)/NOT-in(0,1)/NOT-in(0,1)|edges=0100000010000100",82,2,-0.06167777635511767,0.006488416216686882,53205,0.008587415053044637,352084,0.013241365853658536,1085792,0.030856301987468752,6325542,0.0161356,3307798,0.010676756357969667,875494,0.010173902190880435,417130,0.0,0
4,circuit,7,0000000110001000,"NOR-in(1,1)/NOR-mid(0,1)/NOR-out(2,0)/NOT-in(0,1)|edges=0010001000001000",82,2,0.0545596273126565,0.005570976968530968,45682,0.00867365895969068,355620,0.011660743902439024,956181,0.01692134121578525,3468875,0.010698039024390244,2193098,0.005268658665089236,432030,0.002025902389612137,83062,0.00016414632144557054,1346
4,circuit,7,0000000110001000,"NOR-in(1,1)/NOR-mid(2,0)/NOT-in(0,1)/NOT-in(0,1)|edges=0100000010000100",82,1,0.07995051181148055,0.00208329319104712,17083,0.00723051254782988,296451,0.010223341463414633,838314,0.00781401451979491,1601873,0.016248146341463415,3330870,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001000,"NOR-in(2,0)/NOT-in(0,1)/NOT-in(0,1)/NOT-in(1,1)|edges=0000000110001000",82,1,-0.04062098613888259,0.02836025081957337,232554,0.06861280822501503,2813125,0.06448164634146342,5287495,0.036157355568428945,7412258,0.002422131707317073,496537,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001000,"NOR-mid(0,1)/NOR-mid(1,1)/NOR-out(2,0)/NOT-in(0,1)|edges=0010001000000100",82,6,-0.005502759742137097,0.011793417510589637,96706,0.031035538099294543,1272457,0.04539343902439024,3722262,0.05023154072831892,10297466,0.09060083414634146,18573171,0.09590112429027133,7863892,0.09379872941954319,3845748,0.14851778676612357,1217846
4,circuit,7,0000000110001000,"NOR-mid(1,1)/NOR-out(2,0)/NOT-in(0,1)/NOT-mid(0,1)|edges=0100000010000100",82,3,-0.037153526954359466,0.023610493563535017,193606,0.023396415775434914,959253,0.027286939024390243,2237529,0.027512706914448192,5640105,0.04898727804878049,10042392,0.052126245173810856,4274352,0.05144648655008569,2109306,0.04114828766484297,337416
4,circuit,7,0000000110001010,"NOR-in(0,1)/NOR-in(1,1)/NOR-in(1,2)/NOR-in(2,0)|edges=0010000101010000",82,5,0.1263158578795055,0.00028792689949436574,2361,0.0021759757159012546,89215,0.00875690243902439,718066,0.031096106862008192,6374702,0.06019671219512195,12340326,0.07331784325165472,6012063,0.07335324211333556,3007483,0.06251974847320141,512662
4,circuit,7,0000000110001010,"NOR-in(0,1)/NOR-in(1,1)/NOR-in(1,2)/NOR-mid(2,0)|edges=0010000101010000",82,4,-0.03213804400696743,0.00027292689583582826,2238,0.019703098522102367,807827,0.03629093902439024,2975857,0.03972631161376129,8143894,0.043288775609756094,8874199,0.04195912297461275,3440648,0.03542721864811662,1452516,0.029536459812626852,242199
4,circuit,7,0000000110001010,"NOR-in(0,1)/NOR-in(1,1)/NOR-in(1,2)/NOR-out(2,0)|edges=0010000101010000",82,1,-0.11201277343324159,0.0,0,2.4390245092207077e-05,1000,0.00044969512195121953,36875,0.006053258448001096,1240918,0.02454850243902439,5032443,0.03189161053394172,2615112,0.03834068199169068,1571968,0.0797416975924759,653882
4,circuit,7,0000000110001010,"NOR-in(0,1)/NOR-in(1,1)/NOR-mid(2,0)/NOT-in(1,2)|edges=0001001000000110",82,1,0.17303352777561337,0.14904576805994343,1222175,0.11174793228038694,4581665,0.07384776829268293,6055517,0.04773424320388912,9785520,0.0,0,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001010,"NOR-in(0,1)/NOR-in(1,2)/NOR-mid(1,1)/NOR-out(2,0)|edges=0100001100010000",82,7,0.009714433803328587,0.042168302967878775,345780,0.041038758099451615,1682589,0.04753414634146341,3897800,0.07012762824203471,14376164,0.09025437073170732,18502146,0.0844618679137041,6925873,0.0789619736838543,3237441,0.063213163022785,518348
4,circuit,7,0000000110001010,"NOR-in(0,1)/NOR-mid(2,0)/NOT-in(1,1)/NOT-in(1,2)|edges=0001000001000110",82,1,0.08322879678026891,0.0533900130219544,437798,0.05003005122097811,2051232,0.044874829268292685,3679736,0.029557375177209144,6059262,0.0,0,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001010,"NOR-in(1,1)/NOR-in(1,2)/NOR-in(2,0)/NOT-in(0,1)|edges=0010101000000100",82,2,0.08636911448465147,6.560977209994442e-05,538,0.0019415122898298678,79602,0.008115682926829269,665486,0.01312463395427365,2690550,0.021020258536585366,4309153,0.01426571986013951,1169789,0.008861121735094592,363306,0.0012069510723230399,9897
4,circuit,7,0000000110001010,"NOR-in(1,1)/NOR-in(1,2)/NOR-mid(2,0)/NOT-in(0,1)|edges=0010101000000100",82,3,0.021867518881052213,0.1462251576158921,1199046,0.10764188329960406,4413317,0.07344480487804877,6022474,0.054780428466627874,11229988,0.02244467317073171,4601158,0.02154678101333612,1766836,0.022611755546054744,927082,0.03282255697285891,269145
4,circuit,7,0000000110001010,"NOR-in(1,1)/NOR-mid(2,0)/NOT-in(0,1)/NOT-in(1,2)|edges=0100000000011100",82,1,0.0933558639558372,0.10182124434664497,834934,0.09681217545425246,3969299,0.06904406097560975,5661613,0.03614530678811746,7409788,0.0,0,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001010,"NOR-in(1,2)/NOR-mid(1,1)/NOR-out(2,0)/NOT-in(0,1)|edges=0110001000001000",82,2,-0.04646319367654226,8.65853869720456e-06,71,0.00048604880419750264,19928,0.0036304634146341465,297698,0.0077578925693966945,1590368,0.029184341463414636,5982790,0.02031814683702797,1666088,0.013257170408361697,543544,0.009473657381261295,77684
4,circuit,7,0000000110001010,"NOR-in(1,2)/NOR-out(2,0)/NOT-in(0,1)/NOT-mid(1,1)|edges=0101000010000100",82,1,-0.04062098613888259,0.02836025081957337,232554,0.06861280822501503,2813125,0.06448164634146342,5287495,0.036157355568428945,7412258,0.002422131707317073,496537,0.0,0,0.0,0,0.0,0
4,circuit,7,0000000110001010,"NOR-mid(1,1)/NOR-out(2,0)/NOT-in(0,1)/NOT-in(1,2)|edges=0100000000011100",82,1,-0.33899546001180786,0.0,0,2.9317074600832907e-05,1202,0.0006810121951219512,55843,0.0017983755834384062,368667,0.025299560975609755,5186410,0.026464512840597875,2170090,0.023675731129860215,970705,0.019571217125461327,160484
