k,raw_motif,iso_key
3,"?(0,1)/?(0,1)/?(2,0)|edges=001001000",000100100
3,"?(0,1)/?(1,0)/?(1,1)|edges=001000010",000001100
3,"?(0,2)/?(1,0)/?(1,0)|edges=011000000",000000110
3,"?(0,2)/?(1,1)/?(2,0)|edges=011001000",000100110
