k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,circuit,6,0000000001000010110010000,3,4,63,11,52019,156339,0,881477,15403,121540,0,894459
5,circuit,6,0000000001000010110010000,3,5,63,11,51379,154769,0,861947,12920,129445,0,922314
5,circuit,6,0000000001000010110010000,3,7,63,11,136608,340195,0,1666534,22067,178741,0,960777
5,circuit,6,0000000001000010110010000,3,11,63,11,50271,174234,0,1089972,6224,61399,0,402121
5,circuit,6,0000000001000010110010000,3,12,63,11,50003,172968,0,1085602,7012,66335,0,416163
5,circuit,6,0000000001000010110010000,3,13,63,11,133408,317450,0,1656283,20541,174652,0,855485
5,circuit,6,0000000001000010110010000,3,14,63,11,74751,225383,0,1217909,12562,106739,0,586613
5,circuit,6,0000000001000010110010000,3,15,63,11,70325,208141,0,1174038,15086,119152,0,622753
5,circuit,6,0000000001000010110010000,3,17,63,11,58994,145496,0,804292,7867,70433,0,476331
5,circuit,6,0000000001000010110010000,3,18,63,11,58119,142905,0,788539,6328,72935,0,474083
5,circuit,6,0000000001000010110010000,4,3,63,11,29735,67340,0,678032,30576,178966,0,731983
5,circuit,6,0000000001000010110010000,4,11,63,11,79784,289247,0,1164444,27045,206896,0,922881
5,circuit,6,0000000001000010110010000,4,12,63,11,80003,283001,0,1155527,29062,209988,0,949493
5,circuit,6,0000000001000010110010000,4,14,63,11,79832,272211,0,1313769,43518,284390,0,1225499
5,circuit,6,0000000001000010110010000,4,15,63,11,96735,317284,0,1308234,51505,313257,0,1257232
5,circuit,6,0000000001000010110010000,0,0,63,11,0,27744,0,1747383,36472,177837,0,1286252
5,circuit,6,0000000001000010110010000,0,3,63,11,129319,294192,0,918559,61514,252079,0,973429
5,circuit,6,0000000001000010110010000,0,6,63,11,238515,384919,0,875888,81024,337355,0,1097071
5,circuit,6,0000000001000010110010000,0,8,63,11,210931,383272,0,883675,76783,326629,0,1058798
5,circuit,6,0000000001000010110010000,0,9,63,11,108510,324162,0,872052,45597,278751,0,953758
5,circuit,6,0000000001000010110010000,0,10,63,11,120760,224086,0,443953,71431,236871,0,906487
5,circuit,6,0000000001000010110010000,0,16,63,11,115128,183791,0,372574,71861,213302,0,870315
5,circuit,6,0000000001000010110010000,1,0,63,11,74759,177367,0,1469242,15803,131706,0,1182967
5,circuit,6,0000000001000010110010000,1,6,63,11,119737,299380,0,916254,55518,404371,0,1592434
5,circuit,6,0000000001000010110010000,1,8,63,11,119450,293571,0,902399,49440,386716,0,1566882
5,circuit,6,0000000001000010110010000,1,9,63,11,111794,265118,0,888744,21192,305336,0,1459476
5,circuit,6,0000000001000010110010000,1,10,63,11,45826,140172,0,482951,50391,272174,0,927235
5,circuit,6,0000000001000010110010000,1,16,63,11,58292,124761,0,387026,59889,244747,0,756824
5,circuit,6,0000000001000010110010000,2,6,63,11,121836,322173,0,1039347,96139,491445,0,1836105
5,circuit,6,0000000001000010110010000,2,8,63,11,121680,314130,0,1025460,93631,483301,0,1824304
5,circuit,6,0000000001000010110010000,2,9,63,11,114540,282907,0,1023887,91681,453122,0,1799530
5,circuit,6,0000000001000010110010000,2,10,63,11,46430,144032,0,512218,52232,264471,0,997635
5,circuit,6,0000000001000010110010000,2,16,63,11,58839,131561,0,412638,51147,234351,0,804472
5,circuit,6,0000000001000010110010000,3,0,63,11,133048,295525,0,1273989,51740,343512,0,1365523
5,circuit,6,0000000001000010110010000,3,3,63,11,51261,152547,0,794271,15221,184636,0,995506
5,circuit,6,0000000001000010110010000,3,6,63,11,94760,287414,0,1176751,163154,768100,0,2661667
5,circuit,6,0000000001000010110010000,3,8,63,11,99071,289880,0,1187791,160504,758669,0,2681821
5,circuit,6,0000000001000010110010000,3,9,63,11,100344,281057,0,1154574,128569,731177,0,2749143
5,circuit,6,0000000001000010110010000,3,10,63,11,36325,129138,0,604254,96576,428724,0,1428840
5,circuit,6,0000000001000010110010000,3,16,63,11,50081,125163,0,462231,86856,372011,0,1159627
5,circuit,6,0000000001000010110010000,4,0,63,11,168516,363598,0,1925572,89222,360168,0,1526645
5,circuit,6,0000000001000010110010000,4,6,63,11,48753,128231,0,564527,50228,283572,0,1281627
5,circuit,6,0000000001000010110010000,4,8,63,11,52835,131984,0,579058,49459,282803,0,1280969
5,circuit,6,0000000001000010110010000,4,9,63,11,71476,158556,0,625442,50041,278734,0,1238896
5,circuit,6,0000000001000010110010000,4,10,63,11,25198,65996,0,304428,24924,174694,0,728323
5,circuit,6,0000000001000010110010000,4,16,63,11,28502,57747,0,253275,31330,157763,0,570854
5,circuit,6,0000000001000011000000010,0,11,63,12,216977,492619,0,1259252,76443,363728,0,1410956
