k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
3,toxicity,4,000000110,27,23,2,1,2,False,-0.283859463256631,0.7016204965558254,14158,23,0.7691758759106001,77606,23,0.7931453151559302,160048,23,0.817917092858219,412613,23,0.8691022260986778,438436,23,0.885434218090273,178670,23,0.8984320799222978,90650,23,0.9218455743879472,18601,23,-0.3938341995993551,-0.22409592699759212,-0.1587999164868987,-0.087571267018416
3,toxicity,4,000100100,27,27,2,2,1,False,-0.3525991143879524,1.0,20179,27,1.0,100895,27,1.0,201789,27,1.0,504468,27,1.0,504470,27,1.0,201788,27,1.0,100898,27,1.0,20178,27,0.0,0.0,0.0,0.0
3,toxicity,4,000100110,27,18,3,2,2,False,0.3525991143879524,0.6773873829228406,13669,18,0.6551761732494177,66104,18,0.6522258398624305,131612,18,0.65391065439235,329877,18,0.6791424663508236,342607,18,0.6867454952722659,138577,18,0.6921940970088605,69841,18,0.7092377837248488,14311,18,-0.06628828067750987,-0.07929374680279862,-0.07440394306611241,-0.05462071614995302
3,toxicity,4,000001100,27,27,2,1,1,True,0.31593905065413436,1.0,20179,27,1.0,100895,27,1.0,201789,27,1.0,504468,27,1.0,504470,27,1.0,201788,27,1.0,100898,27,1.0,20178,27,0.0,0.0,0.0,0.0
3,toxicity,5,000000110,43,42,2,1,2,False,-0.09176108206771309,0.9482851132101533,356999,42,0.9612492589106039,1809421,42,0.9654527957228308,3634672,42,0.9700709893221706,9130151,42,0.9804296523921303,9227648,42,0.9831215122028574,3701190,42,0.9854306162650103,1854947,42,0.9902807144299117,372809,40,-0.06251665549683016,-0.03584371451554371,-0.026164019698568335,-0.015323791259235482
3,toxicity,5,000100100,43,43,2,2,1,False,-0.2552554328685905,1.0,376468,43,1.0,1882364,43,1.0,3764733,43,1.0,9411838,43,1.0,9411841,43,1.0,3764733,43,1.0,1882372,43,1.0,376468,41,0.0,0.0,0.0,0.0
3,toxicity,5,000100110,43,30,3,2,2,False,0.25525543286859054,0.7640304089590616,287633,30,0.7318850126755505,1377674,30,0.722103532972989,2718527,30,0.7127896804003638,6708661,30,0.6852390515309386,6449361,30,0.6706350755817212,2524762,30,0.6575745920572554,1237800,30,0.6241752287046973,234982,28,0.2916789567454423,0.15446244679755336,0.10667776010208689,0.05686907757060678
3,toxicity,5,000001100,43,43,2,1,1,True,0.17871175543507076,1.0,376468,43,1.0,1882364,43,1.0,3764733,43,1.0,9411838,43,1.0,9411841,43,1.0,3764733,43,1.0,1882372,43,1.0,376468,41,0.0,0.0,0.0,0.0
3,toxicity,6,000000110,63,60,2,1,2,False,-0.41719099677530586,0.8728495835478044,4805730,60,0.9022239650317656,24837310,60,0.9145908923738179,50355517,60,0.9310183695845804,128149949,60,0.9695900071690986,133459138,60,0.9790196050083356,53902834,60,0.9841203746436438,27091837,60,0.9913698234787807,5458281,60,-0.18369028649425231,-0.1253491847892259,-0.0982111976398304,-0.05856519676517513
3,toxicity,6,000100100,63,63,2,2,1,False,-0.33472907064653123,1.0,5505794,63,1.0,27528985,63,1.0,55057969,63,1.0,137644920,63,1.0,137644919,63,1.0,55057972,63,1.0,27528987,63,1.0,5505797,63,0.0,0.0,0.0,0.0
3,toxicity,6,000100110,63,46,3,2,2,False,0.33472907064653123,0.7405645761537755,4077396,46,0.7354107679596614,20245112,46,0.735921951643367,40518368,46,0.7361483228004346,101327077,46,0.7248322475310549,99769476,46,0.7167599998052961,39463352,46,0.7099421420773674,19543988,46,0.6964902628992679,3834734,46,0.08852235816299665,0.0508488462221777,0.038062641849192294,0.022349335087979337
3,toxicity,6,000001100,63,63,2,1,1,True,0.3362046662773926,1.0,5505794,63,1.0,27528985,63,1.0,55057969,63,1.0,137644920,63,1.0,137644919,63,1.0,55057972,63,1.0,27528987,63,1.0,5505797,63,0.0,0.0,0.0,0.0
3,toxicity,7,000000110,82,79,2,1,2,False,-0.3194424063372097,0.906494756097561,7433257,79,0.9342668472455461,38304937,79,0.9431835825943211,77341050,79,0.9534872009075668,195464880,79,0.971118814915914,199079359,79,0.9743002323341406,79892621,79,0.9761121219512195,40020597,79,0.9804436585365853,8039638,79,-0.11313605366080055,-0.06321219934220608,-0.046827803391604125,-0.026434245279905105
3,toxicity,7,000100100,82,82,2,2,1,False,-0.17843943321408853,1.0,8200000,82,1.0,40999996,82,1.0,81999996,82,1.0,205000004,82,1.0,205000002,82,1.0,82000002,82,1.0,41000000,82,1.0,8200000,82,0.0,0.0,0.0,0.0
3,toxicity,7,000100110,82,64,3,2,2,False,0.17843943321408853,0.7625539024390244,6252942,64,0.7666219772314125,31431498,64,0.7698425375532946,63127085,64,0.773548043442965,158577352,64,0.7917019532516882,162298902,64,0.7959492122939217,65267837,64,0.7977890243902439,32709350,64,0.7989064634146341,6551033,64,-0.06718728063482145,-0.05749191826350624,-0.048112989336048496,-0.033466513529116095
3,toxicity,7,000001100,82,82,2,1,1,True,0.3359911472319435,1.0,8200000,82,1.0,40999996,82,1.0,81999996,82,1.0,205000004,82,1.0,205000002,82,1.0,82000002,82,1.0,41000000,82,1.0,8200000,82,0.0,0.0,0.0,0.0
