k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,toxicity,6,0000000001000010110010000,2,19,63,11,56930,276475,0,1083149,9861,74725,0,605073
5,toxicity,6,0000000001000010110010000,3,0,63,11,34565,309203,0,1964189,40395,265143,0,1542993
5,toxicity,6,0000000001000010110010000,3,1,63,11,64254,353656,0,1996015,25840,204457,0,1434355
5,toxicity,6,0000000001000010110010000,3,2,63,11,67454,399590,0,2175741,17978,160358,0,1314421
5,toxicity,6,0000000001000010110010000,3,3,63,11,1136,27117,0,567507,70954,326372,0,1327236
5,toxicity,6,0000000001000010110010000,3,4,63,11,68016,324881,0,1380047,6166,67061,0,688348
5,toxicity,6,0000000001000010110010000,3,5,63,11,51387,283710,0,1302093,9968,87430,0,748280
5,toxicity,6,0000000001000010110010000,3,8,63,11,13093,143830,0,1396348,77001,413427,0,1946872
5,toxicity,6,0000000001000010110010000,3,9,63,11,33586,268105,0,1872019,29816,237870,0,1578588
5,toxicity,6,0000000001000010110010000,3,10,63,11,75198,350904,0,1389175,8919,75925,0,690643
5,toxicity,6,0000000001000010110010000,3,11,63,11,21643,171558,0,1048268,17666,133753,0,896099
5,toxicity,6,0000000001000010110010000,3,12,63,11,4213,64813,0,743547,40689,236076,0,1160855
5,toxicity,6,0000000001000010110010000,3,13,63,11,20164,177870,0,1540882,64540,362414,0,1831907
5,toxicity,6,0000000001000010110010000,3,15,63,11,57986,341709,0,1819657,3659,75145,0,876717
5,toxicity,6,0000000001000010110010000,3,16,63,11,648,22116,0,505576,54513,268260,0,1086149
5,toxicity,6,0000000001000010110010000,3,17,63,11,25558,172593,0,960532,9982,83466,0,678253
5,toxicity,6,0000000001000010110010000,3,18,63,11,1017,14588,0,376027,72111,319162,0,1181248
5,toxicity,6,0000000001000010110010000,3,19,63,11,50240,259687,0,1098019,8125,65464,0,581455
5,toxicity,6,0000000001000010110010000,4,0,63,11,25320,221534,0,1542858,90747,428314,0,1899478
5,toxicity,6,0000000001000010110010000,4,1,63,11,57613,334275,0,1848345,62663,352280,0,1721316
5,toxicity,6,0000000001000010110010000,4,2,63,11,76431,409792,0,2001071,40197,269141,0,1548447
5,toxicity,6,0000000001000010110010000,4,3,63,11,12181,117922,0,902257,32950,201404,0,1037944
5,toxicity,6,0000000001000010110010000,4,4,63,11,17035,139061,0,921489,42875,231829,0,1085510
5,toxicity,6,0000000001000010110010000,4,5,63,11,32888,207560,0,1071341,28851,181694,0,969843
5,toxicity,6,0000000001000010110010000,4,6,63,11,10032,120728,0,1390162,58906,359776,0,1882082
5,toxicity,6,0000000001000010110010000,4,7,63,11,279,5436,0,82102,162830,811123,0,3975523
5,toxicity,6,0000000001000010110010000,4,8,63,11,31918,224437,0,1612251,98548,450579,0,1894662
5,toxicity,6,0000000001000010110010000,4,9,63,11,2201,58370,0,944589,223910,769792,0,2475900
5,toxicity,6,0000000001000010110010000,4,10,63,11,90829,361931,0,1338776,15208,111494,0,755399
5,toxicity,6,0000000001000010110010000,4,11,63,11,10847,96714,0,738328,80601,337360,0,1264443
5,toxicity,6,0000000001000010110010000,4,12,63,11,6112,76548,0,718620,67189,306740,0,1236265
5,toxicity,6,0000000001000010110010000,4,13,63,11,35349,256878,0,1621387,94007,447969,0,1895065
5,toxicity,6,0000000001000010110010000,4,14,63,11,4540,56984,0,816828,57446,332749,0,1574399
5,toxicity,6,0000000001000010110010000,4,15,63,11,95763,465679,0,1889486,2569,84181,0,866107
5,toxicity,6,0000000001000010110010000,4,16,63,11,4744,62905,0,644662,48766,240139,0,979592
5,toxicity,6,0000000001000010110010000,4,17,63,11,22622,162821,0,881640,22074,132453,0,775741
5,toxicity,6,0000000001000010110010000,4,18,63,11,6246,73116,0,670131,37173,199005,0,934158
5,toxicity,6,0000000001000010110010000,4,19,63,11,49275,248648,0,1009385,15992,105471,0,693616
5,toxicity,6,0000000001000010110010000,1,6,63,11,1101,19357,0,577072,183552,773639,0,2502075
5,toxicity,6,0000000001000010110010000,1,14,63,11,412,8155,0,310518,173183,650730,0,2003584
5,toxicity,6,0000000001000010110010000,2,16,63,11,697,18307,0,455382,66612,294080,0,1096055
5,toxicity,6,0000000001000010110010000,3,6,63,11,1470,10234,0,295015,279677,1044021,0,2833001
5,toxicity,6,0000000001000010110010000,3,14,63,11,597,5175,0,214968,211651,753109,0,2138675
5,toxicity,6,0000000001000010110010000,0,7,63,11,8499,38192,0,194489,213288,1033071,0,4394921
5,toxicity,6,0000000001000010110010000,1,7,63,11,0,0,0,208,221204,1073828,0,4649910
5,toxicity,6,0000000001000010110010000,3,7,63,11,0,0,0,83,233852,1174580,0,4929395
5,toxicity,6,0000000001000010110010000,2,7,63,11,0,0,0,211,236363,1133301,0,4748337
5,toxicity,6,0000000001000011000000010,0,0,63,12,46374,313468,0,1888503,42925,263416,0,1548632
5,toxicity,6,0000000001000011000000010,0,1,63,12,79781,427725,0,2149921,26196,197628,0,1369945
5,toxicity,6,0000000001000011000000010,0,2,63,12,100279,498482,0,2293931,19217,161741,0,1257697
5,toxicity,6,0000000001000011000000010,0,3,63,12,6795,58352,0,610962,70719,316952,0,1274223
5,toxicity,6,0000000001000011000000010,0,4,63,12,44830,240512,0,1196463,14208,107734,0,800807
5,toxicity,6,0000000001000011000000010,0,5,63,12,44668,248056,0,1203483,12677,103799,0,789022
5,toxicity,6,0000000001000011000000010,0,8,63,12,24891,204066,0,1611118,65659,362246,0,1806184
5,toxicity,6,0000000001000011000000010,0,9,63,12,14304,162617,0,1505643,78142,403049,0,1882917
5,toxicity,6,0000000001000011000000010,0,10,63,12,54321,284940,0,1278089,12046,95486,0,748794
5,toxicity,6,0000000001000011000000010,0,11,63,12,19939,157649,0,1030048,25143,158391,0,943311
5,toxicity,6,0000000001000011000000010,0,12,63,12,6778,80786,0,783086,42461,230801,0,1122236
5,toxicity,6,0000000001000011000000010,0,13,63,12,42068,283399,0,1796567,57172,313428,0,1654991
5,toxicity,6,0000000001000011000000010,0,15,63,12,110555,501069,0,2006622,3656,66024,0,764018
5,toxicity,6,0000000001000011000000010,0,16,63,12,1504,24553,0,441200,70147,304678,0,1135736
5,toxicity,6,0000000001000011000000010,0,17,63,12,34962,207445,0,998189,13656,92290,0,657568
5,toxicity,6,0000000001000011000000010,0,18,63,12,7127,58707,0,550531,58414,260014,0,1029313
5,toxicity,6,0000000001000011000000010,0,19,63,12,64143,295530,0,1131402,8297,65605,0,566992
5,toxicity,6,0000000001000011000000010,1,0,63,12,39251,280111,0,1795030,61732,348454,0,1724183
5,toxicity,6,0000000001000011000000010,1,1,63,12,85591,440276,0,2152763,24229,192679,0,1361651
5,toxicity,6,0000000001000011000000010,1,2,63,12,87166,451586,0,2215472,17623,160143,0,1272509
5,toxicity,6,0000000001000011000000010,1,3,63,12,3542,45332,0,606753,67139,303203,0,1243764
5,toxicity,6,0000000001000011000000010,1,4,63,12,59996,299668,0,1339138,8238,77989,0,720930
5,toxicity,6,0000000001000011000000010,1,5,63,12,51903,273228,0,1278166,10469,92996,0,762936
5,toxicity,6,0000000001000011000000010,1,8,63,12,25432,236050,0,1749061,62220,330689,0,1666801
5,toxicity,6,0000000001000011000000010,1,9,63,12,24809,244782,0,1856646,37070,261209,0,1592245
5,toxicity,6,0000000001000011000000010,1,10,63,12,84043,361542,0,1431307,8961,77576,0,642776
5,toxicity,6,0000000001000011000000010,1,11,63,12,23383,163447,0,999606,20172,149912,0,941797
5,toxicity,6,0000000001000011000000010,1,12,63,12,7602,78442,0,752855,39839,233805,0,1136030
5,toxicity,6,0000000001000011000000010,1,13,63,12,36184,247028,0,1676413,60208,341485,0,1733693
5,toxicity,6,0000000001000011000000010,1,15,63,12,73327,395824,0,1864311,4148,73837,0,833338
5,toxicity,6,0000000001000011000000010,1,16,63,12,1146,24823,0,508591,55395,259778,0,1028882
5,toxicity,6,0000000001000011000000010,1,17,63,12,35784,209010,0,1020044,9233,78284,0,637101
5,toxicity,6,0000000001000011000000010,1,18,63,12,4844,41969,0,495654,61711,272455,0,1069087
5,toxicity,6,0000000001000011000000010,1,19,63,12,58663,275277,0,1108036,7544,65249,0,569405
5,toxicity,6,0000000001000011000000010,2,0,63,12,33712,229779,0,1586737,108421,466322,0,1896374
5,toxicity,6,0000000001000011000000010,2,1,63,12,92866,468149,0,2176079,29606,205506,0,1359995
5,toxicity,6,0000000001000011000000010,2,2,63,12,91501,479151,0,2225854,21772,170374,0,1275669
5,toxicity,6,0000000001000011000000010,2,3,63,12,2387,43631,0,675920,49378,256136,0,1171751
5,toxicity,6,0000000001000011000000010,2,4,63,12,52945,256349,0,1200421,22447,138467,0,838471
5,toxicity,6,0000000001000011000000010,2,5,63,12,54087,303377,0,1319091,13041,98712,0,746161
5,toxicity,6,0000000001000011000000010,2,6,63,12,3213,46268,0,947089,100510,501475,0,2154143
5,toxicity,6,0000000001000011000000010,2,8,63,12,24981,242595,0,1776327,55792,301352,0,1590614
5,toxicity,6,0000000001000011000000010,2,9,63,12,32300,224752,0,1650639,78604,385411,0,1787460
5,toxicity,6,0000000001000011000000010,2,10,63,12,84784,394811,0,1471559,8250,64322,0,573060
5,toxicity,6,0000000001000011000000010,2,11,63,12,17067,128048,0,859409,53066,246500,0,1094457
5,toxicity,6,0000000001000011000000010,2,12,63,12,4820,74320,0,755594,51483,253600,0,1150922
5,toxicity,6,0000000001000011000000010,2,13,63,12,34764,253306,0,1693544,75890,374979,0,1761291
5,toxicity,6,0000000001000011000000010,2,14,63,12,941,18371,0,516968,96558,443618,0,1751550
5,toxicity,6,0000000001000011000000010,2,15,63,12,92685,486318,0,1985793,2521,56904,0,744333
5,toxicity,6,0000000001000011000000010,2,17,63,12,27937,164185,0,898607,21911,131090,0,747297
5,toxicity,6,0000000001000011000000010,2,18,63,12,3335,39686,0,536203,55895,258287,0,1043611
5,toxicity,6,0000000001000011000000010,2,19,63,12,59171,285382,0,1094071,9657,72532,0,582680
5,toxicity,6,0000000001000011000000010,3,0,63,12,33126,262513,0,1739796,47608,302216,0,1667853
5,toxicity,6,0000000001000011000000010,3,1,63,12,76426,411913,0,2078551,27891,208444,0,1409329
5,toxicity,6,0000000001000011000000010,3,2,63,12,88933,463736,0,2213057,19988,169685,0,1297964
