k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
5,circuit,4,0000000000000000000011110,27,0,4,1,4,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000000010011010,27,0,4,1,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000000010011100,27,0,4,2,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000000010011110,27,0,5,2,4,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000000010111000,27,0,4,1,2,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000000010111100,27,0,5,2,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000000110010100,27,3,4,2,2,False,-0.08009492728514518,0.03394618167401754,685,1,0.050747333782658686,5120,3,0.052640186336942785,10622,3,0.06620202152353653,33397,3,0.17393769277734167,87746,2,0.2397317977283089,48375,2,0.15187376725838264,15323,2,0.0001982258783884236,4,1,7.41996017784789,-1.5814687670222893,-2.1871847778797675,-1.3936234260275828
5,circuit,4,0000000000000000110010110,27,0,5,2,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000000110011100,27,0,5,2,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
5,circuit,4,0000000000000010000111000,27,2,4,2,2,False,0.046192768501365215,0.04316368501907924,871,1,0.058785632161122786,5931,2,0.0646628837624204,13048,2,0.06655883093379004,33577,2,0.11526598317435398,58148,2,0.14363589509782543,28984,2,0.0818193531761371,8255,1,0.0,0,0,,-0.4769785440213578,-1.1514065749074982,-0.7922648148051326
