task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,7,IcaRA/I1,616,781,-0.3418981181579344,3,5,1397
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,8,LitR/L1,0,577,-9.174925682500678,3,5,577
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,9,LmrA/N1,0,720,-9.493855449240824,3,5,720
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,10,PhlF/P1,0,390,-8.611024797307353,3,5,390
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,11,PhlF/P2,1433,397,1.8492046881582562,3,5,1830
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,12,PhlF/P3,1235,384,1.682748392322111,3,5,1619
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,13,PsrA/R1,912,657,0.47252727624898044,3,5,1569
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,14,QacR/Q1,1302,759,0.7777657602371868,3,5,2061
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,15,QacR/Q2,943,881,0.0980082038043207,3,5,1824
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,16,SrpR/S1,0,731,-9.515699838284043,3,5,731
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,17,SrpR/S2,517,429,0.26861543809709365,3,5,946
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,18,SrpR/S3,551,510,0.11134497584054762,3,5,1061
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,19,SrpR/S4,903,357,1.336363185150931,3,5,1260
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,0,AmeR/F1,204687,240084,-0.23011874419357112,19,11,444771
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,1,AmtR/A1,382748,228726,0.7427719301903553,19,11,611474
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,2,BetI/E1,462549,244789,0.9180647010244833,19,11,707338
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,3,BM3R1/B1,64996,178532,-1.457745730541054,19,11,243528
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,4,BM3R1/B2,186161,140990,0.4009555425221287,19,11,327151
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,5,BM3R1/B3,170625,141536,0.2696582558060655,19,11,312161
circuit_log,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,6,HlyIIR/H1,5100,402640,-6.302570175072085,19,11,407740
