task,source,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,total_designs
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,8,LitR/L1,0,370,-8.535275376620802,370
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,9,LmrA/N1,0,515,-9.011227255423254,515
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,10,PhlF/P1,0,148,-7.219168520462162,148
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,11,PhlF/P2,415,121,1.7697023805782053,536
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,12,PhlF/P3,405,131,1.6209417978267224,536
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,13,PsrA/R1,290,186,0.6379808830206471,476
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,14,QacR/Q1,418,211,0.9828859791361524,629
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,15,QacR/Q2,347,193,0.8430306536616008,540
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,16,SrpR/S1,0,201,-7.658211482751794,201
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,17,SrpR/S2,195,35,2.4447848426728958,230
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,18,SrpR/S3,218,114,0.9292970086567982,332
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,19,SrpR/S4,283,123,1.1955508091178069,406
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,0,AmeR/F1,60699,409,7.209928796524961,61108
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,1,AmtR/A1,44902,18839,1.2530128706735943,63741
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,2,BetI/E1,52102,38425,0.4392836375962431,90527
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,3,BM3R1/B1,6678,21399,-1.679906777293173,28077
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,4,BM3R1/B2,24557,12320,0.995073719464029,36877
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,5,BM3R1/B3,23665,10267,1.204660683000873,33932
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,6,HlyIIR/H1,1,47339,-14.530772085621976,47340
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,7,IcaRA/I1,49853,42866,0.2178418076143325,92719
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,8,LitR/L1,0,46107,-15.492729467709617,46107
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,9,LmrA/N1,7,45720,-12.4805693377664,45727
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,10,PhlF/P1,3,24372,-12.572996218577309,24375
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,11,PhlF/P2,31625,18218,0.7956673228794593,49843
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,12,PhlF/P3,30884,17757,0.7984372238095901,48641
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,13,PsrA/R1,49566,44727,0.148201693495487,94293
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,14,QacR/Q1,32249,27990,0.2043361313145998,60239
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,15,QacR/Q2,31882,20049,0.6691851480275114,51931
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,16,SrpR/S1,8,21601,-11.228952267186028,21609
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,17,SrpR/S2,21244,16431,0.3706152568824535,37675
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,18,SrpR/S3,21364,15260,0.485399816984689,36624
circuit_log,0x2B,"d2o=3|dfi=1|in=2|out=1|pred=0,0|succ=2|type=NOR",3,1,2,1,"0,0",2,NOR,19,SrpR/S4,22448,13641,0.718596013232614,36089
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,0,AmeR/F1,0,830,-9.698704666770345,830
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,1,AmtR/A1,3684,1468,1.326830223426152,5152
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,2,BetI/E1,5496,4133,0.4111060906123138,9629
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,3,BM3R1/B1,694,2372,-1.7716272175830783,3066
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,4,BM3R1/B2,3082,2042,0.5936456853739479,5124
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,5,BM3R1/B3,2967,1829,0.6976474434493983,4796
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,6,HlyIIR/H1,0,4564,-12.156399144871584,4564
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,7,IcaRA/I1,3870,1527,1.3410617642565628,5397
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,8,LitR/L1,0,5025,-12.295194955880655,5025
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,9,LmrA/N1,0,2714,-11.406736482691723,2714
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,10,PhlF/P1,0,3902,-11.930367747438952,3902
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,11,PhlF/P2,4405,1473,1.5797329706058134,5878
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,12,PhlF/P3,4047,961,2.073100490924268,5008
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,13,PsrA/R1,3980,2993,0.4110566500329326,6973
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,14,QacR/Q1,4274,755,2.49946628043955,5029
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,15,QacR/Q2,3338,4266,-0.3538060171379957,7604
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,16,SrpR/S1,0,3903,-11.930737337562887,3903
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,17,SrpR/S2,2448,1877,0.38299571091020357,4325
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,18,SrpR/S3,2251,354,2.665315897688185,2605
circuit_log,0x2B,"d2o=1|dfi=2|in=2|out=1|pred=0,1|succ=0|type=NOR",1,2,2,1,"0,1",0,NOR,19,SrpR/S4,2977,525,2.5012090492897974,3502
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,0,AmeR/F1,28210,121444,-2.1059733827494944,149654
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,1,AmtR/A1,117147,40493,1.532552259436237,157640
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,2,BetI/E1,110638,26084,2.0845676835207922,136722
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,3,BM3R1/B1,28057,13275,1.0795916414668818,41332
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,4,BM3R1/B2,42082,12958,1.6992831598321263,55040
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,5,BM3R1/B3,40415,9839,2.0381963235609497,50254
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,6,HlyIIR/H1,25,162209,-12.607063518549426,162234
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,7,IcaRA/I1,101349,34671,1.54750312514795,136020
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,8,LitR/L1,25,152451,-12.51755583331544,152476
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,9,LmrA/N1,23,108715,-12.14524225466939,108738
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,10,PhlF/P1,0,92566,-16.498210346019853,92566
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,11,PhlF/P2,70039,9998,2.808323360489516,80037
circuit_log,0x2B,"d2o=2|dfi=2|in=2|out=1|pred=0,1|succ=1|type=NOR",2,2,2,1,"0,1",1,NOR,12,PhlF/P3,70022,11452,2.61210332505709,81474
